Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác - Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác - Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT010,Tổ chức và cấu trúc máy tính,2,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IS005,Giới thiệu ngành Hệ thống thông tin,1,Môn cơ sở ngành,
IS336,Hoạch định nguồn lực doanh nghiệp,4,Môn chuyên ngành,
IS201,Phân tích thiết kế hệ thống thông tin,4,Môn chuyên ngành,
IS210,Hệ quản trị cơ sở dữ liệu,4,Môn chuyên ngành,
IS208,Quản lý dự án công nghệ thông tin,4,Môn chuyên ngành,
IS216,Lập trình Java,4,Môn chuyên ngành,
IS207,Phát triển ứng dụng web,4,Môn chuyên ngành,
NT118,Phát triển ứng dụng trên thiết bị di động,3,Môn chuyên ngành,
IS211,Cơ sở dữ liệu phân tán,4,Môn chuyên ngành,
IS405,Dữ liệu lớn,4,Môn chuyên ngành,
IS252,Khai thác dữ liệu,4,Môn chuyên ngành,
IS217,Kho dữ liệu và OLAP,3,Môn chuyên ngành,
IS403,Phân tích dữ liệu kinh doanh,3,Môn chuyên ngành,
IS344,Quản trị nguồn lực y tế,3,Môn chuyên ngành,
IS201,Phân tích thiết kế hệ thống thông tin,4,Môn chuyên ngành,
IS346,Quản lý dự án công nghệ thông tin y tế,3,Môn chuyên ngành,
IS216,Lập trình Java,4,Môn chuyên ngành,
IS207,Phát triển ứng dụng web,4,Môn chuyên ngành,
IS348,Dịch tễ học,3,Môn chuyên ngành,
IS349,Hệ thống y tế,3,Môn chuyên ngành,
IS360,Quản lý chăm sóc và điều trị,3,Môn chuyên ngành,
IS361,Quản lý chuỗi cung ứng dược và thiết bị y tế,3,Môn chuyên ngành,
IS362,Quản trị tài chính và bảo hiểm y tế,3,Môn chuyên ngành,
IS345,AI trong y tế,3,Môn chuyên ngành,
IS347,Thống kê y học,3,Môn chuyên ngành,
DS312,Xử lý ảnh Y khoa,3,Môn chuyên ngành,
IS217,Kho dữ liệu và OLAP,3,Môn chuyên ngành,
IS354,Công nghệ tài chính căn bản Fintech,3,Môn chuyên ngành,
IS356,Agile IT với DevOps,3,Môn chuyên ngành,
IS357,Kiến trúc hướng dịch vụ,3,Môn chuyên ngành,
IS232,Hệ thống thông tin kế toán,4,Môn chuyên ngành,
IS254,Hệ hỗ trợ quyết định,3,Môn chuyên ngành,
IS334,Thương mại điện tử,3,Môn chuyên ngành,
IS351,Phân tích không gian,4,Môn chuyên ngành,
IS251,Nhập môn Hệ thống thông tin địa lý,4,Môn chuyên ngành,
IS335,An toàn và bảo mật Hệ thống thông tin,3,Môn chuyên ngành,
IS339,Sinh tin học,3,Môn chuyên ngành,
IS220,Xây dựng HTTT trên các framework,4,Môn chuyên ngành,
NT532,Công nghệ Internet of things hiện đại,3,Môn chuyên ngành,
DS102,Học máy thống kê,4,Môn chuyên ngành,
EC213,Quản trị quan hệ khách hàng và nhà cung cấp,3,Môn chuyên ngành,
EC214,Nhập môn quản trị chuỗi cung ứng,3,Môn chuyên ngành,
EC331,Quản trị chiến lược kinh doanh điện tử,3,Môn chuyên ngành,
IS363,Pháp luật trong lĩnh vực y tế,2,Môn chuyên ngành,
IS358,Kiểm soát nhiễm khuẩn bệnh viện,3,Môn chuyên ngành,
IS364,Mã tiêu chuẩn dùng chung trong y tế (Medical Coding),3,Môn chuyên ngành,
IS402,Điện toán đám mây,3,Môn chuyên ngành,
IS355,Công nghệ Blockchain,4,Môn chuyên ngành,
IS353,Mạng xã hội,3,Môn chuyên ngành,
IS406,Điện toán đám mây và xử lý dữ liệu lớn,3,Môn chuyên ngành,
IS355,Công nghệ Blockchain,4,Môn chuyên ngành,
