Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE012,Giáo dục thể chất,,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT012,Tổ chức và cấu trúc máy tính II,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IE005,Giới thiệu ngành Công nghệ Thông tin,1,Môn cơ sở ngành,
IE101,Cơ sở hạ tầng công nghệ thông tin,3,Môn cơ sở ngành,
IE103,Quản lý thông tin,4,Môn cơ sở ngành,
IE104,Internet và công nghệ Web,4,Môn cơ sở ngành,
IE105,Nhập môn bảo đảm và an ninh thông tin,4,Môn cơ sở ngành,
IE106,Thiết kế giao diện người dùng,4,Môn cơ sở ngành,
IE108,Phân tích thiết kế phần mềm,4,Môn cơ sở ngành,
IS402,Điện toán đám mây,3,Môn cơ sở ngành,
IE201,Xử lý dữ liệu thống kê,3,Môn chuyên ngành,
IE212,Công nghệ Dữ liệu lớn,4,Môn chuyên ngành,
IS217,Kho dữ liệu và OLAP,3,Môn chuyên ngành,
IS254,Hệ hỗ trợ ra quyết định,3,Môn chuyên ngành,
IE221,Kỹ thuật lập trình Python,4,Môn chuyên ngành,
IE224,Phân tích dữ liệu,4,Môn chuyên ngành,
IE309,Thực tập doanh nghiệp,2,Môn chuyên ngành,
BUS1125,Khởi nghiệp kinh doanh,3,Môn chuyên ngành,
IE202,Quản trị doanh nghiệp,3,Môn chuyên ngành,
IE203,Hệ thống quản trị qui trình nghiệp vụ,4,Môn chuyên ngành,
IS208,Quản lý dự án công nghệ thông tin,4,Môn chuyên ngành,
IS336,Hoạch định nguồn lực doanh nghiệp,4,Môn chuyên ngành,
IE301,Quản trị quan hệ khách hàng,3,Môn chuyên ngành,
IE302,Kiến trúc và tích hợp hệ thống,3,Môn chuyên ngành,
IE102,Các công nghệ nền,3,Môn chuyên ngành,
IE204,Tối ưu hóa công cụ tìm kiếm (SEO),4,Môn chuyên ngành,
IE213,Kỹ thuật phát triển hệ thống Web,4,Môn chuyên ngành,
IS353,Mạng xã hội,3,Môn chuyên ngành,
IS334,Thương mại điện tử,3,Môn chuyên ngành,
IE303,Công nghệ Java,4,Môn chuyên ngành,
IE307,Công nghệ lập trình đa nền tảng cho ứng dụng di động,4,Môn chuyên ngành,
IS251,Nhập môn hệ thống thông tin địa lý,4,Môn chuyên ngành,
IS352,Hệ cơ sở dữ liệu không gian,4,Môn chuyên ngành,
IS351,Phân tích không gian,4,Môn chuyên ngành,
IE205,Xử lý ảnh vệ tinh,3,Môn chuyên ngành,
IE304,Hệ thống định vị toàn cầu,3,Môn chuyên ngành,
IE305,Tin học môi trường,2,Môn chuyên ngành,
IE207,Đồ án,2,"Đồ án, thực tập",
IE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
IE401,Tin-Sinh học,3,"Đồ án, thực tập",
IE402,Hệ thống thông tin địa lý 3 chiều,4,"Đồ án, thực tập",
IE403,Khai thác dữ liệu truyền thông xã hội,3,"Đồ án, thực tập",
IE405,Công nghệ phân tích dữ liệu lớn,4,"Đồ án, thực tập",
IE406,Nhập môn ẩn thông tin và ứng dụng,3,"Đồ án, thực tập",
IT009,Giới thiệu ngành,IE005,"Đồ án, thực tập",
ENG01,Anh văn 1 (*),4,"Đồ án, thực tập",
ME001,Giáo dục Quốc phòng,Tính riêng,"Đồ án, thực tập",
ENG02,Anh văn 2 (*),4,Môn đại cương,
ENG03,Anh văn 3 (*),4,Môn đại cương,
IE101,Cơ sở hạ tầng Công nghệ thông tin,3,Môn đại cương,
,Các môn học chuyên ngành (**),4,Môn đại cương,
IE505,Hình thức 1: Khóa luận tốt nghiệp,10,Môn chuyên ngành,
,Hình thức 2: Chuyên đề tốt nghiệp,≥ 10,Môn chuyên ngành,
CU001,Văn hóa doanh nghiệp Nhật Bản,2,Môn đại cương,
JAN01,Tiếng Nhật 1,5,Môn đại cương,
JAN02,Tiếng Nhật 2,5,Môn đại cương,
JAN03,Tiếng Nhật 3,5,Môn đại cương,
JAN04,Tiếng Nhật 4,5,Môn đại cương,
JAN05,Tiếng Nhật 5,3,Môn đại cương,
JAN06,Tiếng Nhật 6,3,Môn đại cương,
JAN07,Tiếng Nhật 7,3,Môn đại cương,
JAN08,Tiếng Nhật 8 (Tiếng Nhật trong công sở: 職場の日本語),3,Môn đại cương,
IE105,Nhập môn đảm bảo và an ninh thông tin,4,Môn cơ sở ngành,
