Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
IE108,Thiết kế phân tích phần mềm,4,Môn cơ sở ngành,
IE216,Các chủ đề toán học cho KHDL,3,Môn chuyên ngành,
IE217,Máy học **,4,Môn chuyên ngành,
IE218,Xử lý dữ liệu lớn **,4,Môn chuyên ngành,
IS254,Hệ hỗ trợ ra quyết định **,3,Môn chuyên ngành,
IE213,Kỹ thuật phát triển hệ thống Web **,4,Môn chuyên ngành,
IE204,Tối ưu hóa công cụ tìm kiếm,4,Môn chuyên ngành,
IS334,Thương mại điện tử **,3,Môn chuyên ngành,
IE303,Công nghệ Java **,4,Môn chuyên ngành,
IE307,Công nghệ lập trình đa nền tảng cho ứng dụng di động **,4,Môn chuyên ngành,
IE403,Khai thác dữ liệu truyền thông xã hội **,3,Môn chuyên ngành,
IE405,Công nghệ phân tích dữ liệu lớn **,4,Môn chuyên ngành,
IE212,Công nghệ Dữ liệu lớn **,4,Môn chuyên ngành,
IE202,Quản trị doanh nghiệp **,3,Môn chuyên ngành,
IE203,Hệ thống quản trị qui trình nghiệp vụ **,4,Môn chuyên ngành,
IE230,Viết báo cáo kỹ thuật bằng tiếng Nhật,2,Môn chuyên ngành,
SE108,Kiểm chứng phần mềm **,3,Môn chuyên ngành,
SE401,Mẫu thiết kế,3,Môn chuyên ngành,
SE310,Công nghệ .Net **,4,Môn chuyên ngành,
IS208,Quản lý dự án CNTT,4,Môn chuyên ngành,
NT213,Bảo mật web và ứng dụng,3,Môn chuyên ngành,
IE225,Interconnection Networks,4,Môn chuyên ngành,
IE226,Computer Graphics and Visualization,4,Môn chuyên ngành,
IE227,Signal Processing over Networks,4,Môn chuyên ngành,
IE228,Human-Computer Interaction,4,Môn chuyên ngành,
IE229,Artificial Intelligence,4,Môn chuyên ngành,
IE105,Nhập môn đảm bảo an ninh thông tin,4,"Đồ án, thực tập",
,Các môn học chuyên ngành (***),4,"Đồ án, thực tập",
CU001,Văn hóa doanh nghiệp Nhật,2,"Đồ án, thực tập",
JAN08,Tiếng Nhật (Tiếng Nhật trong công sở: 職場の日本語),3,"Đồ án, thực tập",
SE108,Kiểm chứng phần mềm,3,Môn chuyên ngành,
IE406,Nhập môn ẩn thông tin và ứng dụng,3,"Đồ án, thực tập",
,Các môn học chuyên ngành(*),³ 4,Môn chuyên ngành,
IE222,Phân tích dữ liệu,4,Môn chuyên ngành,
SE104,Nhập môn công nghệ phần mềm,4,Môn chuyên ngành,
IE212,Công nghệ dữ liệu lớn,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
,Các môn học chuyên ngành (*),≥ 12,"Đồ án, thực tập",
,Chuyên đề tốt nghiệp,≥ 10,"Đồ án, thực tập",
IE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
