Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
IE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
IE400,Chuyên đề tốt nghiệp,4,"Đồ án, thực tập",
IE501,Đồ án tốt nghiệp,6,"Đồ án, thực tập",
IE502,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
