Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
MA005,Xác suất thống kê,NT3,Môn đại cương,
IT001,Nhập môn Lập trình,NT3,Môn đại cương,
MM005,Nhập môn marketing,NT2,Môn đại cương,
MM006,Tâm lý học đại cương,NT2,Môn đại cương,
MM007,Tư duy sáng tạo và xu hướng thiết kế truyền thông,NT2,Môn đại cương,
MM008,Kỹ năng truyền thông giao tiếp,KN2,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,KN3,Môn đại cương,
ENG01,Anh văn 1,NT 3,Môn đại cương,
ENG02,Anh văn 2,NT 3,Môn đại cương,
ENG03,Anh văn 3,NT 3,Môn đại cương,
ME001,Giáo dục Quốc phòng & An ninh,NT2,Môn đại cương,
PE231,Giáo dục thể chất 1,KN2,Môn đại cương,
PE232,Giáo dục thể chất 2,KN2,Môn đại cương,
MM101,Giới thiệu ngành TTĐPT,NT2,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,NT3,Môn cơ sở ngành,
MM102,Lý luận truyền thông đại chúng,NT3,Môn cơ sở ngành,
MM103,Cơ sở tạo hình và nguyên lý thị giác,NT3,Môn cơ sở ngành,
MM110,Màu sắc và tâm lý thị giác trong thiết kế truyền thông,NT3,Môn cơ sở ngành,
MM104,Viết nội dung đa phương tiện ​,NT3,Môn cơ sở ngành,
MM105,Nhập môn kỹ thuật sản xuất nội dung đa phương tiện,KN3,Môn cơ sở ngành,
MM106,Thu thập và phân tích khám phá dữ liệu TTĐPT,KN3,Môn cơ sở ngành,
MM107,Học máy ứng dụng trong TTĐPT,KN3,Môn cơ sở ngành,
MM108,Tiếp thị số,KN3,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,NK3,Môn cơ sở ngành,
MM109,Thiết kế đồ họa,NT3,Môn cơ sở ngành,
MM201,Truyền thông và dư luận xã hội,KN3,Môn chuyên ngành,
MM202,Học sâu ứng dụng trong truyền thông đa phương tiện,NT3,Môn chuyên ngành,
MM203,Xử lý ngôn ngữ tự nhiên cho truyền thông đa phương tiện,NT4,Môn chuyên ngành,
MM204,Xử lý ảnh số và video trong TTĐPT,NT4,Môn chuyên ngành,
MM205,Phân tích và hiểu nội dung đa phương thức,KN4,Môn chuyên ngành,
MM206,Dữ liệu lớn ứng dụng trong truyền thông đa phương tiện,NT3,Môn chuyên ngành,
MM207,Hệ thống khai phá dữ liệu mạng xã hội,KN4,Môn chuyên ngành,
MM221,Chuyên đề các vấn đề hiện đại trong TTĐPT,KN4,Môn chuyên ngành,
MM222,An ninh thông tin trong truyền thông đa phương tiện,KN4,Môn chuyên ngành,
IE106,Thiết kế giao diện người dùng,NT4,Môn chuyên ngành,
SE347,Công nghệ Web và ứng dụng,NT4,Môn chuyên ngành,
MM208,Thiết kế và sản xuất ấn phẩm,NT4,Môn chuyên ngành,
MM209,Nghiệp vụ truyền thông và báo chí,NT4,Môn chuyên ngành,
MM210,Kỹ thuật quay phim biên kịch và hậu kỳ,KN4,Môn chuyên ngành,
MM211,Thực tế ảo và thực tế tăng cường,NT4,Môn chuyên ngành,
MM212,Hoạt hình,NT4,Môn chuyên ngành,
MM213,Quản lý dự án truyền thông đa phương tiện,KN4,Môn chuyên ngành,
SE102,Nhập môn phát triển game,NT3,Môn chuyên ngành,
MM003,Quản trị sự kiện,KN4,Môn chuyên ngành,
MM214,Chiến lược phát triển thương hiệu,KN4,Môn chuyên ngành,
MM215,Quan hệ công chúng trong marketing,KN4,Môn chuyên ngành,
MM216,Tối ưu hóa và tiếp thị trên công cụ tìm kiếm,NT4,Môn chuyên ngành,
MM217,Tiếp thị cho sản phẩm dịch vụ,KN4,Môn chuyên ngành,
MM218,Xây dựng kênh tiếp thị trực tuyến,KN4,Môn chuyên ngành,
MM219,Quản trị mối quan hệ khách hàng định hướng dữ liệu,KN4,Môn chuyên ngành,
MM220,Phân tích dữ liệu truyền thông số,KN4,Môn chuyên ngành,
MM217,Phân tích dữ liệu truyền thông số,KN4,Môn chuyên ngành,
MM301,Đồ án TTĐPT,KN4,Môn tự do,
MM302,Thực tập doanh nghiệp,KN4,Môn tự do,
MM303,Thực tập quốc tế,KN4,Môn tự do,
MM304,Khởi nghiệp Truyền thông đa phương tiện,KN3,Môn tự do,
MM304,Đồ án tốt nghiệp,KN4,"Đồ án, thực tập",
MM305,Đồ án tốt nghiệp tại doanh nghiệp,KN5,"Đồ án, thực tập",
MM306,Khóa luận tốt nghiệp,KN5,"Đồ án, thực tập",
IT001,Nhập môn lập trình,4,Môn đại cương,
ENG01,Anh Văn 1,English 1,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
SS007,Triết học Mác-Lê nin,3,Môn đại cương,
ENG02,Anh Văn 2,English 2,Môn đại cương,
MM104,Viết nội dung đa phương tiện,3,Môn đại cương,
ENG03,Anh Văn 3,English 3,Môn đại cương,
MM109,Thiết kế đồ họa​,4,Môn đại cương,
SS008,Kinh tế chính trị Mác - Lê nin,2,Môn đại cương,
SS010,Lịch sử Đảng cộng sản Việt Nam,2,Môn đại cương,
XX***,Tự chọn chuyên ngành TTĐPT,4,Môn đại cương,
XX***,Tự chọn tự do,3,Môn đại cương,
XX***,Tự chọn chuyên ngành,4,Môn đại cương,
,Tự chọn tự do,3,Môn đại cương,
MM***,Chuyên đề tốt nghiệp,4,Môn đại cương,
MM306,Khóa luận tốt nghiệp,10,Môn đại cương,
