Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
DS309,Thực tập doanh nghiệp,2,Môn chuyên ngành,
INI01,Thực tập Quốc tế,2,Môn tự do,
BUS1125,Khởi nghiệp kinh doanh,3,Môn tự do,
TLH025,Tâm lý học nhân cách,3,Môn tự do,
CS231,Nhập môn Thị giác máy tính,4,Môn tự do,
CS331,Thị giác máy tính nâng cao,4,Môn tự do,
CS412,Web ngữ nghĩa,4,Môn tự do,
IE233,Phân tích và mô hình mạng xã hội,4,Môn tự do,
CS323,Các hệ thống hỏi-đáp,4,Môn tự do,
CS321,Ngôn ngữ học ngữ liệu,4,Môn tự do,
CS410,Mạng neural và thuật giải di truyền,4,Môn tự do,
CS112,Phân tích và thiết kế thuật toán,4,Môn tự do,
CS116,Lập trình Python cho Máy học,4,Môn tự do,
CS115,Toán cho Khoa học máy tính,4,Môn tự do,
CS406,Xử lý ảnh và ứng dụng,4,Môn tự do,
DS505,Khoá luận tốt nghiệp,10,"Đồ án, thực tập",
DS400,Chuyên đề tốt nghiệp Khoa học dữ liệu,4,"Đồ án, thực tập",
DS501,Đồ án tốt nghiệp,6,"Đồ án, thực tập",
DS502,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
