Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
13,13,0,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác ‒ Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác ‒ Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
18,17,1,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
12,12,0,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
2,2,0,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
45,44,1,Môn đại cương,
1,1,0,Môn cơ sở ngành,
DS005,Giới thiệu ngành Khoa học dữ liệu,1,Môn cơ sở ngành,
8,6,2,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
4,3,1,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
4,3,1,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
6,5,1,Môn cơ sở ngành,
IT010,Tổ chức và cấu trúc máy tính,2,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
19,14,5,Môn cơ sở ngành,
DS107,Tư duy tính toán cho Khoa học dữ liệu,4,Môn cơ sở ngành,
DS101,Thống kê và xác suất chuyên sâu,3,Môn cơ sở ngành,
DS111,Phân tích dữ liệu,4,Môn cơ sở ngành,
DS102,Học máy thống kê,4,Môn cơ sở ngành,
DS108,Tiền xử lý và xây dựng bộ dữ liệu,4,Môn cơ sở ngành,
42,32,10,Môn cơ sở ngành,
DS304,Thiết kế và phân tích thực nghiệm,3,Môn chuyên ngành,
DS307,Phân tích dữ liệu truyền thông xã hội,3,Môn chuyên ngành,
DS200,Phân tích dữ liệu lớn,4,Môn chuyên ngành,
DS315,Phân tích Kho dữ liệu,4,Môn chuyên ngành,
DS325,Thiết kế ứng dụng với dữ liệu chuyên sâu,4,Môn chuyên ngành,
DS104,Tính toán song song và phân tán,4,Môn chuyên ngành,
DS317,Khai phá dữ liệu trong doanh nghiệp,4,Môn chuyên ngành,
DS322,Thiết kế hệ thống Học máy,4,Môn chuyên ngành,
DS318,Đạo đức trong Trí tuệ nhân tạo và Khoa học dữ liệu,3,Môn chuyên ngành,
DS306,Phân tích dữ liệu lớn trong tài chính,3,Môn chuyên ngành,
DS305,Phân tích dữ liệu chuỗi thời gian và ứng dụng,3,Môn chuyên ngành,
IE403,Khai thác dữ liệu truyền thông xã hội,3,Môn chuyên ngành,
DS204,Đồ án Khoa học dữ liệu và ứng dụng,2,Môn chuyên ngành,
DS207,Đồ án,2,Môn chuyên ngành,
DS304,Thiết kế và phân tích thực nghiệm,3,Môn chuyên ngành,
DS201,Deep Learning trong Khoa học dữ liệu,4,Môn chuyên ngành,
DS310,Xử lý ngôn ngữ tự nhiên cho Khoa học dữ liệu,4,Môn chuyên ngành,
DS106,Tối ưu hoá và ứng dụng,3,Môn chuyên ngành,
DS104,Tính toán song song và phân tán,4,Môn chuyên ngành,
DS312,Xử lý ảnh y khoa,3,Môn chuyên ngành,
DS313,Xử lý thông tin giọng nói,4,Môn chuyên ngành,
DS314,Rút trích và truy vấn thông tin,4,Môn chuyên ngành,
DS327,Các mô hình nền tảng,4,Môn chuyên ngành,
DS322,Thiết kế hệ thống Học máy,4,Môn chuyên ngành,
DS318,Đạo đức trong Trí tuệ nhân tạo và Khoa học dữ liệu,3,Môn chuyên ngành,
DS317,Khai phá dữ liệu trong doanh nghiệp,4,Môn chuyên ngành,
DS319,Mô hình ngôn ngữ lớn,4,Môn chuyên ngành,
DS320,Học đa thể thức,4,Môn chuyên ngành,
DS321,Khoa học dữ liệu cho An toàn thông tin,4,Môn chuyên ngành,
DS324,Khai thác dữ liệu ảnh số,4,Môn chuyên ngành,
DS300,Hệ khuyến nghị,4,Môn chuyên ngành,
IE403,Khai thác dữ liệu truyền thông xã hội,3,Môn chuyên ngành,
DS326,Khai phá dữ liệu đa phương tiện và ứng dụng,4,Môn chuyên ngành,
DS204,Đồ án Khoa học dữ liệu và ứng dụng,2,Môn chuyên ngành,
DS207,Đồ án,2,Môn chuyên ngành,
DS302,Phân tích thống kê đa biến,3,Môn chuyên ngành,
DS303,Thống kê Bayes,3,Môn chuyên ngành,
DS308,Mô hình đồ thị xác suất,4,Môn chuyên ngành,
IE103,Quản lý thông tin,4,Môn chuyên ngành,
IE108,Phân tích thiết kế phần mềm,4,Môn chuyên ngành,
IE104,Internet và công nghệ Web,4,Môn chuyên ngành,
DS311,Kỹ năng nghiên cứu và viết bài báo khoa học,3,Môn chuyên ngành,
DS323,Viết báo cáo kỹ thuật và thuyết trình,3,Môn chuyên ngành,
IE310,Tư duy thiết kế,3,Môn chuyên ngành,
