Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
CS115,Toán cho Khoa học máy tính,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE012,Giáo dục thể chất,,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
IT001,Nhập môn lập trình,4,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
SE104,Nhập môn Công nghệ phần mềm,4,Môn cơ sở ngành,
CS111,Nguyên lý và phương pháp lập trình,4,Môn cơ sở ngành,
CS311,Kỹ thuật lập trình Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS116,Lập trình Python cho Máy học,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
CS112,Phân tích và thiết kế thuật toán,4,Môn cơ sở ngành,
IT012,Tổ chức và cấu trúc máy tính II,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
CS106,Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS114,Máy học,4,Môn cơ sở ngành,
AI002,Tư duy Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS221,Xử lý ngôn ngữ tự nhiên,4,Môn cơ sở ngành,
CS231,Nhập môn Thị giác máy tính,4,Môn cơ sở ngành,
CS214,Biểu diễn tri thức và suy luận,4,Môn cơ sở ngành,
CS232,Tính toán đa phương tiện,4,Môn cơ sở ngành,
AI001,Giới thiệu ngành Trí tuệ nhân tạo,1,Môn cơ sở ngành,
CS211,Trí tuệ nhân tạo nâng cao,4,Môn cơ sở ngành,
CS315,Máy học nâng cao,4,Môn cơ sở ngành,
CS410,Mạng Neural và Thuật giải di truyền,4,Môn cơ sở ngành,
CS431,Các kĩ thuật học sâu và ứng dụng,3,Môn cơ sở ngành,
CS217,Các hệ cơ sở tri thức,4,Môn cơ sở ngành,
CS316,Các hệ giải bài toán thông minh,4,Môn cơ sở ngành,
CS312,Hệ thống đa tác tử,4,Môn cơ sở ngành,
CS229,Ngữ nghĩa học tính toán,4,Môn cơ sở ngành,
CS226,Ngôn ngữ học máy tính,4,Môn cơ sở ngành,
CS222,Xử lý ngôn ngữ tự nhiên nâng cao,4,Môn cơ sở ngành,
CS323,Các hệ thống hỏi-đáp,4,Môn cơ sở ngành,
CS321,Ngôn ngữ học ngữ liệu,4,Môn cơ sở ngành,
CS325,Dịch máy,4,Môn cơ sở ngành,
CS331,Thị giác máy tính nâng cao,4,Môn cơ sở ngành,
CS532,Thị giác máy tính trong tương tác người – máy,4,Môn cơ sở ngành,
CS338,Nhận dạng,4,Môn cơ sở ngành,
CS313,Khai thác dữ liệu và ứng dụng,4,Môn cơ sở ngành,
CS336,Truy vấn thông tin đa phương tiện,4,Môn cơ sở ngành,
CS337,Xử lý âm thanh và tiếng nói,4,Môn cơ sở ngành,
CS535,Tổng hợp tiếng nói,4,Môn cơ sở ngành,
AI301,Khởi nghiệp và sáng tạo,2,Môn cơ sở ngành,
AI302,Kỹ thuật viết báo cáo và trình bày,2,Môn cơ sở ngành,
DS103,Thu thập và tiền xử lý dữ liệu,4,"Đồ án, thực tập",
DS200,Phân tích dữ liệu lớn,4,"Đồ án, thực tập",
DS201,Deep Learning trong khoa học dữ liệu,4,"Đồ án, thực tập",
CE340,Trí tuệ nhân tạo cho hệ thống nhúng,4,"Đồ án, thực tập",
CE344,Trí tuệ nhân tạo cho IoT,4,"Đồ án, thực tập",
IS211,Cơ sở dữ liệu phân tán,4,"Đồ án, thực tập",
IS403,Phân tích dữ liệu kinh doanh,3,"Đồ án, thực tập",
SE113,Kiểm chứng phần mềm,4,"Đồ án, thực tập",
SE357,Kỹ thuật phân tích yêu cầu,3,"Đồ án, thực tập",
SE358,Quản lý dự án phát triển phần mềm,4,"Đồ án, thực tập",
