Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
NT538,Giải thuật xử lý song song và phân bố,3,"Đồ án, thực tập",
NT539,AI ứng dụng trong mạng và truyền thông,4,"Đồ án, thực tập",
CS519,Phương pháp luận nghiên cứu khoa học,3,"Đồ án, thực tập",
CS529,Các vấn đề nghiên cứu và ứng dụng trong khoa học máy tính,4,"Đồ án, thực tập",
CS333,Đồ họa game,3,"Đồ án, thực tập",
CS527,Thực tại ảo,4,"Đồ án, thực tập",
CS523,Cấu trúc dữ liệu và giải thuật nâng cao,4,"Đồ án, thực tập",
CS551*,Thực tập,2,"Đồ án, thực tập",
CS409,Hệ suy diễn mờ,4,"Đồ án, thực tập",
CS405,Logic mờ và ứng dụng,4,"Đồ án, thực tập",
CS406,Xử lý ảnh và ứng dụng,4,"Đồ án, thực tập",
CS419,Truy xuất thông tin,4,"Đồ án, thực tập",
CS412,Web ngữ nghĩa,4,"Đồ án, thực tập",
IT001,Nhập môn Lập trình,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
CS115,Toán cho KHMT,4,"Đồ án, thực tập",
,Môn cơ sở ngành-Lập trình: tự chọn,4,"Đồ án, thực tập",
,Môn cơ sở ngành-Lập trình 2: tự chọn,4,"Đồ án, thực tập",
,Môn tự chọn ngành 1,4,"Đồ án, thực tập",
,Môn học tự chọn liên ngành 1,4,"Đồ án, thực tập",
,Môn tự chọn ngành 2,4,"Đồ án, thực tập",
,Môn tự chọn ngành 3,4,"Đồ án, thực tập",
,Môn học tự chọn liên ngành 2,4,"Đồ án, thực tập",
,Các môn học chuyên đề tốt nghiệp,10,"Đồ án, thực tập",
AI505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
