Mã MH,Tên Môn Học,TC/SL,LT,TH
MM102,Lý luận truyền thông đại chúng / Foundation of mass communication,3,3,0
MM104,Viết nội dung đa phương tiện / Multimedia content writing​,3,3,0
SS006,Pháp luật đại cương / Introduction to Law,2,2,0
MM109,Thiết kế đồ họa​ / Introduction to graphic design,4,3,1(*)
IT002,Lập trình hướng đối tượng / Object-oriented programming,4,3,1(*)
MM105,Nhập môn kỹ thuật sản xuất nội dung đa phương tiện / Introduction to multimedia production,4,3,1(*)
MM106,Thu thập và phân tích khám phá dữ liệu TTĐPT / Data collection and exploratory analysis for multimedia,4,3,1(*)
SS008,Kinh tế chính trị Mác -Lê nin / Marxist Leninist political economy,2,2,0
MM107,Học máy ứng dụng trong TTĐPT / Applied machine learning for multimedia,4,2,1(*)
MM108,Tiếp thị số / Digital Marketing,4,3,1
SS009,Chủ nghĩa xã hội khoa học / Scientific socialism,2,2,0
SS010,Lịch sử Đảng cộng sản Việt Nam / History of Vietnamese communist party,2,2,0
PE231,Giáo dục thể chất 1 / Physical education 1,Tính riêng,0,0
SS004,Kỹ năng nghề nghiệp / Professional Skill,2,2,0
SS003,Tư tưởng Hồ Chí Minh / Ho Chi Minh's ideology,2,2,0
PE232,Giáo dục thể chất 2 / Physical education 2,Tính riêng,0,0
MM301,Đồ án TTĐPT / Project of MultiMedia,2,0,2
MM302,Thực tập doanh nghiệp / Internship,2,0,2
MM***,Chuyên đề tốt nghiệp / Special graduation subject,4,0,0
MM304,Đồ án tốt nghiệp / Capstone Project,6,0,0
MM305,Đồ án tốt nghiệp tại doanh nghiệp / Insdustry capstone project,10,0,10
MM306,Khóa luận tốt nghiệp / Thesis,10,0,10
